Week number,From Date,To Date
Week 01,"December 30, 2013","January 5, 2014"
Week 02,"January 6, 2014","January 12, 2014"
Week 03,"January 13, 2014","January 19, 2014"
Week 04,"January 20, 2014","January 26, 2014"
Week 05,"January 27, 2014","February 2, 2014"
Week 06,"February 3, 2014","February 9, 2014"
Week 07,"February 10, 2014","February 16, 2014"
Week 08,"February 17, 2014","February 23, 2014"
Week 09,"February 24, 2014","March 2, 2014"
Week 10,"March 3, 2014","March 9, 2014"
Week 11,"March 10, 2014","March 16, 2014"
Week 12,"March 17, 2014","March 23, 2014"
Week 13,"March 24, 2014","March 30, 2014"
Week 14,"March 31, 2014","April 6, 2014"
Week 15,"April 7, 2014","April 13, 2014"
Week 16,"April 14, 2014","April 20, 2014"
Week 17,"April 21, 2014","April 27, 2014"
Week 18,"April 28, 2014","May 4, 2014"
Week 19,"May 5, 2014","May 11, 2014"
Week 20,"May 12, 2014","May 18, 2014"
Week 21,"May 19, 2014","May 25, 2014"
Week 22,"May 26, 2014","June 1, 2014"
Week 23,"June 2, 2014","June 8, 2014"
Week 24,"June 9, 2014","June 15, 2014"
Week 25,"June 16, 2014","June 22, 2014"
Week 26,"June 23, 2014","June 29, 2014"
Week 27,"June 30, 2014","July 6, 2014"
Week 28,"July 7, 2014","July 13, 2014"
Week 29,"July 14, 2014","July 20, 2014"
Week 30,"July 21, 2014","July 27, 2014"
Week 31,"July 28, 2014","August 3, 2014"
Week 32,"August 4, 2014","August 10, 2014"
Week 33,"August 11, 2014","August 17, 2014"
Week 34,"August 18, 2014","August 24, 2014"
Week 35,"August 25, 2014","August 31, 2014"
Week 36,"September 1, 2014","September 7, 2014"
Week 37,"September 8, 2014","September 14, 2014"
Week 38,"September 15, 2014","September 21, 2014"
Week 39,"September 22, 2014","September 28, 2014"
Week 40,"September 29, 2014","October 5, 2014"
Week 41,"October 6, 2014","October 12, 2014"
Week 42,"October 13, 2014","October 19, 2014"
Week 43,"October 20, 2014","October 26, 2014"
Week 44,"October 27, 2014","November 2, 2014"
Week 45,"November 3, 2014","November 9, 2014"
Week 46,"November 10, 2014","November 16, 2014"
Week 47,"November 17, 2014","November 23, 2014"
Week 48,"November 24, 2014","November 30, 2014"
Week 49,"December 1, 2014","December 7, 2014"
Week 50,"December 8, 2014","December 14, 2014"
Week 51,"December 15, 2014","December 21, 2014"
Week 52,"December 22, 2014","December 28, 2014"
