Week number,From Date,To Date
Week 01,"January 2, 2017","January 8, 2017"
Week 02,"January 9, 2017","January 15, 2017"
Week 03,"January 16, 2017","January 22, 2017"
Week 04,"January 23, 2017","January 29, 2017"
Week 05,"January 30, 2017","February 5, 2017"
Week 06,"February 6, 2017","February 12, 2017"
Week 07,"February 13, 2017","February 19, 2017"
Week 08,"February 20, 2017","February 26, 2017"
Week 09,"February 27, 2017","March 5, 2017"
Week 10,"March 6, 2017","March 12, 2017"
Week 11,"March 13, 2017","March 19, 2017"
Week 12,"March 20, 2017","March 26, 2017"
Week 13,"March 27, 2017","April 2, 2017"
Week 14,"April 3, 2017","April 9, 2017"
Week 15,"April 10, 2017","April 16, 2017"
Week 16,"April 17, 2017","April 23, 2017"
Week 17,"April 24, 2017","April 30, 2017"
Week 18,"May 1, 2017","May 7, 2017"
Week 19,"May 8, 2017","May 14, 2017"
Week 20,"May 15, 2017","May 21, 2017"
Week 21,"May 22, 2017","May 28, 2017"
Week 22,"May 29, 2017","June 4, 2017"
Week 23,"June 5, 2017","June 11, 2017"
Week 24,"June 12, 2017","June 18, 2017"
Week 25,"June 19, 2017","June 25, 2017"
Week 26,"June 26, 2017","July 2, 2017"
Week 27,"July 3, 2017","July 9, 2017"
Week 28,"July 10, 2017","July 16, 2017"
Week 29,"July 17, 2017","July 23, 2017"
Week 30,"July 24, 2017","July 30, 2017"
Week 31,"July 31, 2017","August 6, 2017"
Week 32,"August 7, 2017","August 13, 2017"
Week 33,"August 14, 2017","August 20, 2017"
Week 34,"August 21, 2017","August 27, 2017"
Week 35,"August 28, 2017","September 3, 2017"
Week 36,"September 4, 2017","September 10, 2017"
Week 37,"September 11, 2017","September 17, 2017"
Week 38,"September 18, 2017","September 24, 2017"
Week 39,"September 25, 2017","October 1, 2017"
Week 40,"October 2, 2017","October 8, 2017"
Week 41,"October 9, 2017","October 15, 2017"
Week 42,"October 16, 2017","October 22, 2017"
Week 43,"October 23, 2017","October 29, 2017"
Week 44,"October 30, 2017","November 5, 2017"
Week 45,"November 6, 2017","November 12, 2017"
Week 46,"November 13, 2017","November 19, 2017"
Week 47,"November 20, 2017","November 26, 2017"
Week 48,"November 27, 2017","December 3, 2017"
Week 49,"December 4, 2017","December 10, 2017"
Week 50,"December 11, 2017","December 17, 2017"
Week 51,"December 18, 2017","December 24, 2017"
Week 52,"December 25, 2017","December 31, 2017"
