Week number,From Date,To Date
Week 01,"December 31, 2012","January 6, 2013"
Week 02,"January 7, 2013","January 13, 2013"
Week 03,"January 14, 2013","January 20, 2013"
Week 04,"January 21, 2013","January 27, 2013"
Week 05,"January 28, 2013","February 3, 2013"
Week 06,"February 4, 2013","February 10, 2013"
Week 07,"February 11, 2013","February 17, 2013"
Week 08,"February 18, 2013","February 24, 2013"
Week 09,"February 25, 2013","March 3, 2013"
Week 10,"March 4, 2013","March 10, 2013"
Week 11,"March 11, 2013","March 17, 2013"
Week 12,"March 18, 2013","March 24, 2013"
Week 13,"March 25, 2013","March 31, 2013"
Week 14,"April 1, 2013","April 7, 2013"
Week 15,"April 8, 2013","April 14, 2013"
Week 16,"April 15, 2013","April 21, 2013"
Week 17,"April 22, 2013","April 28, 2013"
Week 18,"April 29, 2013","May 5, 2013"
Week 19,"May 6, 2013","May 12, 2013"
Week 20,"May 13, 2013","May 19, 2013"
Week 21,"May 20, 2013","May 26, 2013"
Week 22,"May 27, 2013","June 2, 2013"
Week 23,"June 3, 2013","June 9, 2013"
Week 24,"June 10, 2013","June 16, 2013"
Week 25,"June 17, 2013","June 23, 2013"
Week 26,"June 24, 2013","June 30, 2013"
Week 27,"July 1, 2013","July 7, 2013"
Week 28,"July 8, 2013","July 14, 2013"
Week 29,"July 15, 2013","July 21, 2013"
Week 30,"July 22, 2013","July 28, 2013"
Week 31,"July 29, 2013","August 4, 2013"
Week 32,"August 5, 2013","August 11, 2013"
Week 33,"August 12, 2013","August 18, 2013"
Week 34,"August 19, 2013","August 25, 2013"
Week 35,"August 26, 2013","September 1, 2013"
Week 36,"September 2, 2013","September 8, 2013"
Week 37,"September 9, 2013","September 15, 2013"
Week 38,"September 16, 2013","September 22, 2013"
Week 39,"September 23, 2013","September 29, 2013"
Week 40,"September 30, 2013","October 6, 2013"
Week 41,"October 7, 2013","October 13, 2013"
Week 42,"October 14, 2013","October 20, 2013"
Week 43,"October 21, 2013","October 27, 2013"
Week 44,"October 28, 2013","November 3, 2013"
Week 45,"November 4, 2013","November 10, 2013"
Week 46,"November 11, 2013","November 17, 2013"
Week 47,"November 18, 2013","November 24, 2013"
Week 48,"November 25, 2013","December 1, 2013"
Week 49,"December 2, 2013","December 8, 2013"
Week 50,"December 9, 2013","December 15, 2013"
Week 51,"December 16, 2013","December 22, 2013"
Week 52,"December 23, 2013","December 29, 2013"
