date,flu,griep,swine flu,symptoms of flu,flu remedies,home remedies,flu home remedies,home remedies for flu,flu medication,flu during pregnancy,pneumonia,pneumonia symptoms,bronchitis,what is pneumonia,pneumonia in children,pnet,mono,meningitis,rsv,meningitis symptoms,signs of meningitis
2010-06-06,49.54054054054054,0.0,0.0,0.0,28.341384863123995,16.153846153846153,0.0,0.0,0.0,0.0,47.37662337662338,35.76470588235294,86.0,0.0,0.0,89.0,52.12765957446808,20.0,50.0,0.0,0.0
2010-06-13,37.47297297297297,35.294117647058826,3.42,22.116402116402114,0.0,64.61538461538461,68.75,91.66666666666667,0.0,0.0,13.2987012987013,0.0,59.0,0.0,0.0,89.0,24.46808510638298,45.0,0.0,20.37037037037037,0.0
2010-06-20,39.37837837837838,29.41176470588235,0.0,0.0,0.0,48.46153846153846,0.0,0.0,0.0,0.0,48.20779220779221,36.200860832137735,87.0,100.0,89.47368421052632,86.0,21.27659574468085,0.0,100.0,0.0,0.0
2010-06-27,50.17567567567567,29.41176470588235,5.58,0.0,0.0,46.03846153846154,0.0,0.0,0.0,0.0,44.883116883116884,0.0,99.0,0.0,0.0,76.0,9.574468085106384,19.0,0.0,0.0,0.0
2010-07-04,48.9054054054054,0.0,4.86,0.0,0.0,67.03846153846153,0.0,0.0,0.0,0.0,39.896103896103895,0.0,72.0,0.0,0.0,100.0,18.085106382978722,41.0,0.0,14.814814814814815,0.0
2010-07-11,24.135135135135133,0.0,7.0200000000000005,0.0,23.027375201288244,25.846153846153847,0.0,0.0,0.0,0.0,48.20779220779221,14.393113342898136,14.0,82.3529411764706,0.0,76.0,17.02127659574468,40.0,0.0,0.0,0.0
2010-07-18,47.63513513513513,0.0,2.34,0.0,23.027375201288244,45.23076923076923,0.0,0.0,0.0,47.05882352941177,0.0,0.0,28.0,0.0,0.0,75.0,41.48936170212766,8.0,0.0,0.0,0.0
2010-07-25,40.01351351351351,23.529411764705884,2.34,30.26455026455026,0.0,25.846153846153847,0.0,0.0,0.0,0.0,58.18181818181818,14.393113342898136,84.0,0.0,73.6842105263158,80.0,17.02127659574468,32.0,80.0,29.62962962962963,0.0
2010-08-01,50.81081081081081,100.0,7.0200000000000005,15.13227513227513,23.027375201288244,52.5,0.0,0.0,61.53846153846154,0.0,38.23376623376623,0.0,42.0,0.0,73.6842105263158,73.0,34.04255319148936,32.0,40.0,29.62962962962963,0.0
2010-08-08,28.58108108108108,29.41176470588235,10.26,32.59259259259259,24.798711755233494,21.0,0.0,0.0,0.0,0.0,83.11688311688312,31.403156384505024,75.0,0.0,0.0,76.0,37.234042553191486,26.0,0.0,0.0,0.0
2010-08-15,63.51351351351351,0.0,4.5,29.100529100529098,44.28341384863124,80.76923076923077,0.0,0.0,0.0,47.05882352941177,18.285714285714285,13.956958393113343,80.0,0.0,0.0,75.0,32.97872340425532,100.0,40.0,100.0,0.0
2010-08-22,31.12162162162162,47.05882352941177,4.5,15.13227513227513,23.027375201288244,50.07692307692307,0.0,0.0,0.0,47.05882352941177,37.4025974025974,13.956958393113343,54.0,0.0,0.0,63.0,25.53191489361702,31.0,0.0,29.62962962962963,0.0
2010-08-29,26.675675675675674,0.0,4.68,0.0,0.0,46.03846153846154,0.0,0.0,61.53846153846154,47.05882352941177,29.09090909090909,0.0,70.0,0.0,0.0,86.0,42.5531914893617,16.0,0.0,29.62962962962963,0.0
2010-09-05,29.216216216216214,0.0,2.34,0.0,23.027375201288244,32.30769230769231,50.0,0.0,0.0,0.0,29.09090909090909,43.6154949784792,56.0,82.3529411764706,0.0,78.0,17.02127659574468,32.0,80.0,14.814814814814815,97.00699300699301
2010-09-12,21.594594594594593,0.0,0.0,0.0,0.0,26.653846153846153,50.0,66.66666666666667,61.53846153846154,0.0,29.92207792207792,29.658536585365855,57.0,82.3529411764706,73.6842105263158,71.0,8.51063829787234,25.0,40.0,0.0,0.0
2010-09-19,12.702702702702702,0.0,5.76,18.624338624338623,0.0,46.84615384615385,0.0,0.0,0.0,0.0,34.90909090909091,0.0,51.0,0.0,0.0,77.0,30.851063829787233,39.0,0.0,53.7037037037037,0.0
2010-09-26,23.5,29.41176470588235,0.0,0.0,0.0,35.53846153846154,0.0,0.0,0.0,0.0,10.805194805194805,0.0,77.0,0.0,0.0,94.0,9.574468085106384,35.0,45.0,16.666666666666668,0.0
2010-10-03,13.337837837837837,0.0,4.86,0.0,0.0,39.57692307692308,0.0,0.0,61.53846153846154,0.0,19.948051948051948,0.0,100.0,0.0,0.0,72.0,18.085106382978722,25.0,0.0,14.814814814814815,0.0
2010-10-10,21.594594594594593,0.0,2.34,0.0,23.027375201288244,39.57692307692308,50.0,66.66666666666667,0.0,0.0,19.948051948051948,0.0,29.0,0.0,0.0,90.0,52.12765957446808,24.0,40.0,14.814814814814815,0.0
2010-10-17,24.77027027027027,0.0,0.0,0.0,0.0,59.76923076923077,0.0,0.0,0.0,0.0,29.92207792207792,0.0,71.0,0.0,0.0,75.0,0.0,16.0,0.0,0.0,0.0
2010-10-24,22.22972972972973,23.529411764705884,4.86,0.0,0.0,67.84615384615384,0.0,0.0,0.0,0.0,19.948051948051948,0.0,29.0,0.0,0.0,79.0,18.085106382978722,33.0,0.0,14.814814814814815,0.0
2010-10-31,10.797297297297296,0.0,0.0,0.0,0.0,26.653846153846153,0.0,0.0,0.0,0.0,68.98701298701299,29.658536585365855,43.0,0.0,0.0,74.0,35.1063829787234,33.0,40.0,0.0,0.0
2010-11-07,10.797297297297296,0.0,0.0,0.0,0.0,46.84615384615385,0.0,0.0,0.0,0.0,69.81818181818181,0.0,14.0,0.0,0.0,80.0,8.51063829787234,25.0,85.0,14.814814814814815,0.0
2010-11-14,8.256756756756756,0.0,0.0,0.0,47.82608695652174,40.38461538461539,0.0,0.0,0.0,0.0,59.84415584415584,15.265423242467719,29.0,0.0,0.0,74.0,26.595744680851062,59.0,0.0,31.48148148148148,0.0
2010-11-21,22.864864864864863,0.0,0.0,0.0,0.0,21.0,0.0,0.0,69.23076923076923,0.0,20.77922077922078,0.0,61.0,0.0,0.0,94.0,27.659574468085108,35.0,0.0,16.666666666666668,0.0
2010-11-28,20.95945945945946,0.0,2.7,0.0,0.0,80.76923076923077,0.0,0.0,0.0,0.0,21.61038961038961,0.0,16.0,0.0,0.0,82.0,38.297872340425535,36.0,0.0,0.0,0.0
2010-12-05,24.135135135135133,0.0,0.0,17.46031746031746,0.0,14.538461538461538,0.0,0.0,69.23076923076923,52.94117647058823,22.441558441558442,16.573888091822095,16.0,0.0,0.0,66.0,19.148936170212767,46.0,45.0,50.0,0.0
2010-12-12,26.04054054054054,0.0,0.0,0.0,0.0,36.34615384615385,0.0,0.0,84.61538461538461,0.0,13.2987012987013,0.0,39.0,0.0,100.0,59.0,47.87234042553192,11.0,55.0,0.0,0.0
2010-12-19,17.783783783783782,0.0,3.96,25.608465608465604,38.969404186795494,54.11538461538461,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,54.0,56.38297872340426,53.0,0.0,24.074074074074073,0.0
2010-12-26,20.95945945945946,0.0,0.0,0.0,0.0,25.846153846153847,0.0,0.0,0.0,0.0,19.116883116883116,0.0,55.0,0.0,0.0,38.0,100.0,31.0,0.0,0.0,0.0
2011-01-02,19.054054054054053,0.0,3.06,0.0,0.0,67.84615384615384,31.25,41.666666666666664,0.0,0.0,38.23376623376623,0.0,18.0,52.94117647058823,0.0,93.0,32.97872340425532,21.0,50.0,0.0,0.0
2011-01-09,17.14864864864865,11.764705882352942,2.52,0.0,24.798711755233494,67.84615384615384,0.0,0.0,0.0,0.0,26.5974025974026,0.0,0.0,0.0,0.0,90.0,13.829787234042554,22.0,65.0,24.074074074074073,0.0
2011-01-16,11.432432432432432,0.0,2.52,0.0,0.0,72.6923076923077,0.0,0.0,30.76923076923077,0.0,20.77922077922078,0.0,22.0,0.0,0.0,88.0,50.0,34.0,20.0,24.074074074074073,51.35664335664336
2011-01-23,13.972972972972972,0.0,1.26,8.148148148148147,0.0,45.23076923076923,0.0,0.0,0.0,23.529411764705884,9.974025974025974,0.0,15.0,0.0,0.0,91.0,23.404255319148938,22.0,20.0,16.666666666666668,0.0
2011-01-30,22.22972972972973,0.0,3.6,8.148148148148147,12.399355877616747,30.692307692307693,0.0,0.0,0.0,23.529411764705884,19.948051948051948,0.0,44.0,0.0,0.0,77.0,26.595744680851062,21.0,20.0,14.814814814814815,0.0
2011-02-06,20.324324324324323,11.764705882352942,1.26,0.0,0.0,46.84615384615385,0.0,0.0,61.53846153846154,0.0,29.92207792207792,7.414634146341464,36.0,0.0,0.0,78.0,44.680851063829785,46.0,20.0,14.814814814814815,0.0
2011-02-13,20.324324324324323,0.0,0.0,31.428571428571423,0.0,37.15384615384615,0.0,0.0,0.0,0.0,44.883116883116884,0.0,29.0,0.0,0.0,87.0,29.78723404255319,24.0,0.0,0.0,0.0
2011-02-20,21.594594594594593,23.529411764705884,1.26,0.0,0.0,26.653846153846153,0.0,0.0,30.76923076923077,0.0,39.064935064935064,7.414634146341464,29.0,0.0,0.0,84.0,18.085106382978722,29.0,40.0,24.074074074074073,0.0
2011-02-27,24.135135135135133,23.529411764705884,2.34,0.0,23.027375201288244,42.80769230769231,25.0,33.333333333333336,30.76923076923077,0.0,29.09090909090909,7.414634146341464,14.0,0.0,36.8421052631579,70.0,29.78723404255319,28.0,60.0,14.814814814814815,49.45454545454546
2011-03-06,17.14864864864865,11.764705882352942,1.26,0.0,12.399355877616747,42.0,0.0,0.0,0.0,0.0,48.20779220779221,0.0,14.0,0.0,0.0,76.0,17.02127659574468,63.0,40.0,64.81481481481481,0.0
2011-03-13,27.31081081081081,0.0,4.86,23.28042328042328,12.399355877616747,43.61538461538461,0.0,0.0,0.0,0.0,24.935064935064936,0.0,36.0,0.0,36.8421052631579,76.0,29.78723404255319,36.0,40.0,44.44444444444444,0.0
2011-03-20,25.405405405405403,11.764705882352942,1.26,0.0,0.0,50.88461538461539,0.0,0.0,30.76923076923077,0.0,10.805194805194805,0.0,23.0,47.05882352941177,0.0,70.0,23.404255319148938,31.0,45.0,24.074074074074073,0.0
2011-03-27,33.027027027027025,0.0,2.52,0.0,12.399355877616747,46.84615384615385,0.0,0.0,30.76923076923077,23.529411764705884,29.92207792207792,0.0,0.0,0.0,0.0,81.0,22.340425531914892,12.0,20.0,0.0,0.0
2011-04-03,17.783783783783782,11.764705882352942,0.0,0.0,12.399355877616747,57.34615384615385,0.0,0.0,0.0,23.529411764705884,14.96103896103896,7.414634146341464,14.0,0.0,0.0,87.0,35.1063829787234,25.0,40.0,22.22222222222222,0.0
2011-04-10,25.405405405405403,0.0,4.86,0.0,23.027375201288244,49.26923076923077,25.0,33.333333333333336,0.0,0.0,24.103896103896105,14.829268292682928,28.0,0.0,36.8421052631579,83.0,29.78723404255319,37.0,20.0,29.62962962962963,0.0
2011-04-17,24.77027027027027,11.764705882352942,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,39.064935064935064,8.286944045911047,57.0,0.0,0.0,57.0,29.78723404255319,19.0,95.0,9.25925925925926,0.0
2011-04-24,43.189189189189186,17.647058823529413,0.0,22.116402116402114,49.59742351046699,50.07692307692307,37.5,50.0,0.0,0.0,20.77922077922078,0.0,30.0,0.0,0.0,50.0,24.46808510638298,34.0,30.0,20.37037037037037,0.0
